CompanyId,CompanyName,ABN,AddressType,Address,Locale,Jurisdiction,Postcode,CompanyPhone,CompanyFax,LastUpdate
240,QGC Train 1 Tolling Pty Ltd,87142293650,Head Office,,Brisbane,QLD  ,4001,07 3024 9000        ,07 3024 8999        ,26/09/2018 19:30
118,Queensland Alumina Limited,98 009 725 044,Head Office,,Gladstone,QLD  ,4680,07 4976 2775        ,07 4976 2309        ,26/09/2018 19:30
119,Queensland Magnesia Pty Ltd,,Head Office,"246 Boundary Road Parkhurst PO BOX 5798, CQ Mail Centre",Rockhampton,QLD  ,4702,07 3331 3400        ,07 3720 9999        ,26/09/2018 19:30
246,Queensland Nitrates Pty Ltd,63079889268,Head Office,,Moura,QLD  ,4718,07 4997 5100        ,,26/09/2018 19:30
79,Red Energy Pty Limited,60 107 479 372,Head Office,,Cremorne,VI   ,3121,131 806             ,03 9425 9603        ,26/09/2018 19:30
229,RTA Yarwun Pty Ltd,73 137 266 301,Head Office,,Gladstone,QLD  ,4680,07 4971 8486        ,07 4971 7803        ,26/09/2018 19:30
226,Santos CSG Pty Ltd,72121188654,Head Office,,Adelaide,SA   ,5000,07 3838 3000        ,,26/09/2018 19:30
67,Santos Direct Pty Ltd,62 108 846 288,Head Office,,Adelaide,SA   ,5000,08 8116 5000        ,08 8116 5050        ,26/09/2018 19:30
92,Santos Limited,80 007 550 923,Head Office,,Adelaide,SA   ,5000,,(08) 8116 7231      ,26/09/2018 19:30
113,Santos Limited (Shipper),80 007 550 923,Head Office,,Adelaide,SA   ,5000,,,26/09/2018 19:30
115,Santos QNT Pty Ltd,33 083 077 196,Head Office,,Adelaide,SA   ,5000,,,26/09/2018 19:30
225,Santos Toga Pty Ltd,46077536871,Head Office,,Adelaide,SA   ,5000,07 3838 3000        ,,26/09/2018 19:30
64,SEA Gas,73 096 437 900,Head Office,,Adelaide,SA   ,5001,08 8236 6800        ,08 8236 6899        ,26/09/2018 19:30
228,Simplot Australia Pty Limited,98070579609,Head Office,,MENTONE,VI   ,3194,395883000,395884423,26/09/2018 19:30
56,Simply Energy,67 269 241 237,Head Office,Rialto South Tower Level 33 525 Collins Street,Melbourne,VI   ,3000,138808,388071199,26/09/2018 19:30
213,Simply Energy No. 2,67269241237,Head Office,Rialto South Tower Level 33 525 Collins Street,Melbourne,VI   ,3000,138808,388071199,26/09/2018 19:30
173,Sinclair Knight Merz Pty Limited,37 001 024 095,Head Office,,Melbourne,VI   ,3000,03 8668 3001        ,,26/09/2018 19:30
218,South Australian Water Corporation,69336525019,Head Office,,Adelaide,SA   ,5000,08 7424 2395        ,08 7003 2395        ,26/09/2018 19:30
114,South West Qld Producers (Santos),,Head Office,,Adelaide,SA   ,5000,,,26/09/2018 19:30
179,Stanwell Corporation Limited,37 078 848 674,Head Office,,Brisbane,QLD  ,4000,,,26/09/2018 19:30
250,Sumo Gas Pty Ltd,67606951713,Head Office,,South Melbourne,VI   ,3205,03 8678 1400        ,00 0000 0000        ,26/09/2018 19:30
111,Synergen Power Pty Limited,66 092 560 819,Head Office,,ADELAIDE,SA   ,5000,,,26/09/2018 19:30
231,Tarac Technologies,28007513813,Head Office,,Nuriootpa,SA   ,5355,885686500,885622031,26/09/2018 19:30
141,Tas Gas Retail Pty Ltd,90 110 370 726,Head Office,,Launceston,TAS  ,7250,1800 438 427        ,03 6336 9385        ,26/09/2018 19:30
105,Tasmanian Gas Pipeline Pty Ltd,36 083 052 019,Head Office,Governer Phillip Tower Level 26 1 Farrer Place,Sydney,NSW  ,2000,,,26/09/2018 19:30
129,Territory & Municipal Services,37 307 569 373,Head Office,,Canberra,ACT  ,2601,02 6207 5111        ,,26/09/2018 19:30
120,The Australian Steel Company(Operations),89 069 426 955,Head Office,,Sydney,NSW  ,2000,,,26/09/2018 19:30
48,Visy Paper,49 984 541 896,Head Office,"Building J, 13 Reo Cr Campbellfield PO Box 64, Somerton 3062",Melbourne,,3061,03  9302 6859       ,03  9247 4540       ,26/09/2018 19:30
258,Viva Energy Refining Pty Ltd,46004303842,Head Office,,Geelong,VI   ,3214,03 5273 8627        ,00 0000 0000        ,26/09/2018 19:30
260,Viva Energy Refining Pty Ltd 2,46004303842,Head Office,,Geelong,VI   ,3214,03 5273 8627        ,00 0000 0000        ,26/09/2018 19:30
180,W & G Energy Markets,BN05182943,Head Office,,Cammerary,NSW  ,2062,,,26/09/2018 19:30
241,Walloons Coal Seam Gas Company Pty Ltd,53130344366,Head Office,,Brisbane,QLD  ,4001,07 3024 9000        ,07 3024 8999        ,26/09/2018 19:30
245,Western Downs Regional Council,91232587651,Head Office,,Dalby,QLD  ,4405,07 4679 4634        ,,26/09/2018 19:30
244,Weston Energy Pty Ltd,47142392738,Head Office,,Chatswood,NSW  ,2067,02 9413 3345        ,00 0000 0000        ,26/09/2018 19:30
23,Westpac Banking Corporation,33 007 457 141,Head Office,,Sydney,NSW  ,2000,,,26/09/2018 19:30
210,Westside Corporation Limited,74117145516,Head Office,,Brisbane,,4000,07 3020 0900        ,07 3020 0999        ,26/09/2018 19:30
