GasDate,FacilityName,FacilityId,FacilityType,Demand,Supply,TransferIn,TransferOut,HeldInStorage,State,LocationName,LocationId,Completeness,LastUpdated
01/02/2020,Eastern Gas Pipeline,520047,PIPE,80.933,0,0,0,,NSW,Sydney,520008,,2020-02-02T11:08:43+11:00
01/02/2020,Eastern Gas Pipeline,520047,PIPE,3.642,0,0,0,,NSW,Canberra,520009,,2020-02-02T11:08:43+11:00
01/02/2020,Eastern Gas Pipeline,520047,PIPE,0,210.008,0,27.084,,VIC,Longford Hub,530015,,2020-02-02T11:08:43+11:00
01/02/2020,Eastern Gas Pipeline,520047,PIPE,83.819,0,0,0,,NSW,Regional - NSW,590011,,2020-02-02T11:08:43+11:00
01/02/2020,Eastern Gas Pipeline,520047,PIPE,6.472,0,0,0,,VIC,Regional - VIC,590012,,2020-02-02T11:08:43+11:00
02/02/2020,Eastern Gas Pipeline,520047,PIPE,81.364,0,0,0,,NSW,Sydney,520008,,2020-02-04T11:07:44+11:00
02/02/2020,Eastern Gas Pipeline,520047,PIPE,3.564,0,0,0,,NSW,Canberra,520009,,2020-02-04T11:07:44+11:00
02/02/2020,Eastern Gas Pipeline,520047,PIPE,0,217.28,0,30.037,,VIC,Longford Hub,530015,,2020-02-04T11:07:44+11:00
02/02/2020,Eastern Gas Pipeline,520047,PIPE,54.32,0,0,28.028,,NSW,Regional - NSW,590011,,2020-02-04T11:07:44+11:00
02/02/2020,Eastern Gas Pipeline,520047,PIPE,1.585,0,0,0,,VIC,Regional - VIC,590012,,2020-02-04T11:07:44+11:00
03/02/2020,Eastern Gas Pipeline,520047,PIPE,79.018,0,0,0,,NSW,Sydney,520008,,2020-02-05T11:06:19+11:00
03/02/2020,Eastern Gas Pipeline,520047,PIPE,4.158,0,0,0,,NSW,Canberra,520009,,2020-02-05T11:06:19+11:00
03/02/2020,Eastern Gas Pipeline,520047,PIPE,0,166.792,0,24.822,,VIC,Longford Hub,530015,,2020-02-05T11:06:19+11:00
03/02/2020,Eastern Gas Pipeline,520047,PIPE,27.921,0,0,0,,NSW,Regional - NSW,590011,,2020-02-05T11:06:19+11:00
03/02/2020,Eastern Gas Pipeline,520047,PIPE,1.691,0,0,0,,VIC,Regional - VIC,590012,,2020-02-05T11:06:19+11:00
04/02/2020,Eastern Gas Pipeline,520047,PIPE,84.733,0,0,0,,NSW,Sydney,520008,,2020-02-06T11:09:06+11:00
04/02/2020,Eastern Gas Pipeline,520047,PIPE,4.285,0,0,0,,NSW,Canberra,520009,,2020-02-06T11:09:06+11:00
04/02/2020,Eastern Gas Pipeline,520047,PIPE,0,134.497,0,27.149,,VIC,Longford Hub,530015,,2020-02-06T11:09:06+11:00
04/02/2020,Eastern Gas Pipeline,520047,PIPE,8.472,0,0,0,,NSW,Regional - NSW,590011,,2020-02-06T11:09:06+11:00
04/02/2020,Eastern Gas Pipeline,520047,PIPE,3.188,0,0,0,,VIC,Regional - VIC,590012,,2020-02-06T11:09:06+11:00
05/02/2020,Eastern Gas Pipeline,520047,PIPE,93.135,0,0,0,,NSW,Sydney,520008,,2020-02-06T11:09:17+11:00
05/02/2020,Eastern Gas Pipeline,520047,PIPE,4.209,0,0,0,,NSW,Canberra,520009,,2020-02-06T11:09:17+11:00
05/02/2020,Eastern Gas Pipeline,520047,PIPE,0,146.389,0,30.755,,VIC,Longford Hub,530015,,2020-02-06T11:09:17+11:00
05/02/2020,Eastern Gas Pipeline,520047,PIPE,7.673,0,0,0,,NSW,Regional - NSW,590011,,2020-02-06T11:09:17+11:00
05/02/2020,Eastern Gas Pipeline,520047,PIPE,1.72,0,0,0,,VIC,Regional - VIC,590012,,2020-02-06T11:09:17+11:00
01/02/2020,Moomba to Sydney Pipeline System,520053,PIPE,83.342,0,0,0,,NSW,Sydney,520008,,2020-02-02T12:47:54+11:00
01/02/2020,Moomba to Sydney Pipeline System,520053,PIPE,0,0,152.975,0,,SA,Moomba Hub,550017,,2020-02-02T12:47:54+11:00
01/02/2020,Moomba to Sydney Pipeline System,520053,PIPE,111.327,0,0,2.312,,NSW,Regional - NSW,590011,,2020-02-02T12:47:54+11:00
01/02/2020,Moomba to Sydney Pipeline System,520053,PIPE,1.764,0,0,0,,NSW,Regional - ACT,590015,,2020-02-02T12:47:54+11:00
01/02/2020,Moomba to Sydney Pipeline System,520053,PIPE,0,0,91.255,0,,NSW,Culcairn,590016,,2020-02-02T12:47:54+11:00
02/02/2020,Moomba to Sydney Pipeline System,520053,PIPE,62.166,0,0,0,,NSW,Sydney,520008,,2020-02-03T12:46:54+11:00
02/02/2020,Moomba to Sydney Pipeline System,520053,PIPE,0,0,138.962,0,,SA,Moomba Hub,550017,,2020-02-03T12:46:54+11:00
02/02/2020,Moomba to Sydney Pipeline System,520053,PIPE,22.304,0,28.028,3.567,,NSW,Regional - NSW,590011,,2020-02-03T12:46:54+11:00
02/02/2020,Moomba to Sydney Pipeline System,520053,PIPE,2.786,0,0,0,,NSW,Regional - ACT,590015,,2020-02-03T12:46:54+11:00
02/02/2020,Moomba to Sydney Pipeline System,520053,PIPE,0,0,68.153,0,,NSW,Culcairn,590016,,2020-02-03T12:46:54+11:00
03/02/2020,Moomba to Sydney Pipeline System,520053,PIPE,93.44,0,0,0,,NSW,Sydney,520008,,2020-02-04T12:46:54+11:00
